霹雳雷蛟,"
【霹雳雷蛟】《魔兽领域日影地修炼所 LV.20》号
该BOSS房间的打开条件为：道中所有机关均开启。
一定血量后 BOSS会回到池子中央进入无敌状态并且池子带有感电DEBUFF使玩家持续掉血。
此时全体回到坡上并清理小怪 小怪清理完后BOSS会重新变成可攻击状态。
（小怪每次一共六只共两波，可以考虑远敏或法系职业LB解决。）
注意：该BOSS可受到下踢晕眩效果 可以在BOSS还没有转身进入无敌状态前使用 以延长可以攻击的时间。"
兽斗士 坦伽塔,"
【兽斗士 坦伽塔】《魔兽领域日影地修炼所 LV.20》号
与老一类似，BOSS会召唤向BOSS移动的小怪，小怪撞到BOSS后造成全屏伤害，
其中【毒火】的全屏伤害较高，可以考虑打掉。
 一定血量后BOSS脚下出现灼烧AOE火圈并进入无敌状态
此时需要击杀入口处刷新的火元精，击杀3次即可解除BOSS无敌。"
豹尾花,"
【豹尾花】《监狱废墟托托·拉克千狱 LV.24》号
在拥有四个 《魔导感光器》 后启动 《魔导终端》 ,
这时BOSS会出现阻止启动 BOSS会间歇性释放【酸雾】使周围队员进入状态：中毒，
毒素会导致体力逐渐减少,建议尽量远离
关于魔导感光器:到达BOSS房间前的路上一共有三枚,BOSS房间内会有一枚
进入副本后的第二个岔路口内小怪比正路的相对较少，可以节省一定时间。"
霸星蛛蝎,"
【霸星蛛蝎】《监狱废墟托托·拉克千狱 LV.24》号
震撼领域: 无读条,对BOSS周围的队员造成伤害,治疗职业和远程职业注意保持距离
黏网: 读条,在随机队员的脚下刷新小口花苞,建议立即远离并远程击破
蛛网屏: 读条的矩形范围攻击,注意回避,被击中会击退至场外。"
随从女工,"
【随从女工】《名门府邸静语庄园 LV.28 》号
BOSS1本身没有什么特殊机制需要处理，基本都是一些AOE和对T单体伤害，正常走位处理即可，需要注意的是击杀完该BOSS后，请向与宝箱位置相反的门前进，打开寄生树大门并继续前进。"
阿芒迪娜女士,"
【阿芒迪娜女士】《名门府邸静语庄园 LV.28 》号
BOSS血量降低到一定程度后后房间的四个角落会刷新四盏灯，
最好由两个DPS（TN也可以去帮忙，一人负责一盏灯）去关掉，否则BOSS会一直释放全屏AOE；如果全员装备比较好，也可以选择无视。
BOSS战全程灯盏会刷新两次。 中途BOSS还会召唤出一些小怪，T及时拉住仇恨，DPS尽快优先击杀即可。
如果坦克和奶妈可以支撑住所有小怪和BOSS的伤害，也可以选择直接集火BOSS，否则都应当优先击杀小怪，避免翻车。"
庄园的总管,"
【庄园的总管】《名门府邸静语庄园 LV.28 》号
此场BOSS战的处理方式是优先击杀一只BOSS后再击杀另一个，可以由坦克标记1、2顺序。击杀后捡起地上的任务道具血书纸片，点技能返回（如果该技能没有预先拖到快捷键栏，可以按P打开技能面板-通用技能中找到并拖出）回到副本起点，走上二楼。"
庄园的小丑,"
【庄园的小丑】《名门府邸静语庄园 LV.28 》号
此场BOSS战的处理方式是优先击杀一只BOSS后再击杀另一个，可以由坦克标记1、2顺序。击杀后捡起地上的任务道具血书纸片，点技能返回（如果该技能没有预先拖到快捷键栏，可以按P打开技能面板-通用技能中找到并拖出）回到副本起点，走上二楼。"
大黄鹈鹕,"
【大黄鹈鹕】《休养胜地布雷福洛克斯野营地 LV.32》号
进入副本向左走，左上角与哥布林对话后才可得到钥匙。 会出现三只小鹈鹕，优先击杀。"
狱炎火蛟,"
【狱炎火蛟】《休养胜地布雷福洛克斯野营地 LV.32》号
BOSS血量降至一定程度后会刷新出雷蛟，在雷蛟刚出现的一段时间内，任务NPC会协助拉仇恨，
请T此时不要提前绕圈追小怪拉仇恨，以免另一只BOSS跟着到处乱窜使人群吃到额外伤害/影响近战输出。
一段时间后任务NPC会放弃协助并将雷蛟拉到T身边，请T在此时及时拉稳雷蛟仇恨，并继续击杀两只BOSS。击杀过程中DPS可以选择双线挂dot提高输出。"
水栖蝾螈,"
【水栖蝾螈】《休养胜地布雷福洛克斯野营地 LV.32》号
BOSS随机向一名玩家使用水泡，水泡有止步效果并且一定时间后爆炸造成大量伤害，应及时转火水泡救出玩家。
 一定血量后，最终BOSS出现，在削至一定血量后，阿杰特又再次飞走。"
阿杰特,"
【阿杰特】《休养胜地布雷福洛克斯野营地 LV.32》号
该BOSS每隔一定时间会向朝随机一名玩家吐毒，并在其脚下生成持续较长时间的毒圈。此时BOSS站在毒圈内会缓慢回血，建议被点名吐毒目标的玩家贴边站，坦克注意调整BOSS位置，避免其回血。
判断BOSS是否在毒圈内的方法是观察BOSS脚底的目标圈是否进入毒圈范围。
另外，BOSS吐毒后会给该目标玩家上一个中毒DEBUFF，有条件的话治疗请使用康复技能解除。"
巨齿牛头魔,"
【巨齿牛头魔】《古代遗迹喀恩埋没圣堂 LV.35 》号
读条技能【致命射线】(显示为全屏AOE)，读条结束后为全团上BUFF【死亡宣告】，
同时屏幕提示《巨齿牛头魔发出了诡异的咆哮！》。
此时需要所有人找到发光的石板踩上去解除BUFF。
另外BOSS还会召唤蜜蜂，和前面的小怪一样，DPS优先集火干掉。"
圣堂守卫,"
【圣堂守卫】《古代遗迹喀恩埋没圣堂 LV.35 》号
BOSS本体有加强防御的BUFF，DPS要先集火巨像兵的魂石，把魂石打掉之后，才能攻击本体。
T需要保持对BOSS的仇恨，另外BOSS也会随机点名队员进行攻击，需要注意。
一般两到三个循环就可以把BOSS打完，如果有近战的话，可以考虑在这里对本体放一次LB。"
审判化身,"
【审判化身】《古代遗迹喀恩埋没圣堂 LV.35 》号
石面同样要在石板上击杀，如果DPS自己能搞定，T也可以不用管。
BOSS会召唤两种权杖，其中一种会发射蓝色的支线AOE，比较烦人但可以无视。
另一种会在自身周围放出矩形的黑色区域，DPS需要站在黑色区域里才能对这个权杖造成伤害，这种小怪需要一名DPS处理，否则小怪会爆炸，对全团造成伤害。T不需要处理权杖小怪。"
灵蚁禁军公主,"
【灵蚁禁军公主】《流沙迷宫樵鸣洞 LV.38》号
BOSS打掉一定血量后，会召唤一堆蚂蚁，奶妈刷个血带着蚂蚁们绕大圈跑即可，不要让灵蚁将军接近BOSS。"
巨型地道蠕虫,"
【巨型地道蠕虫】《流沙迷宫樵鸣洞 LV.38》号
BOSS会随机点名一名玩家上流血DEBUFF，需要奶妈使用康复技能驱散。
过一段时间后，BOSS会下潜到地底，此时有两种模式，一种是直线突突突，突到场地边缘后跳出地面，并对周围玩家造成伤害；另一种是出现流沙漩涡，把玩家吸向场地中央后，跳出地面，并对周围玩家造成伤害。
建议BOSS下潜后，所有人站到场地边缘，并观察BOSS攻击模式，直线的话躲开行进路线即可，流沙则需要不停向场边奔跑。"
奇美拉,"
【奇美拉】《流沙迷宫樵鸣洞 LV.38》号
当屏幕提示龙头发出诡异的光，或读条【雷电咆哮时】，所有人靠近BOSS；
当屏幕提示羊头发出诡异的光，或读条【寒冰咆哮时】，所有人远离BOSS。
另外BOSS还有可能随机点名一名玩家，释放追踪型电球
需要被锁定的玩家远离人群，等电球不再移动后，回去输出。"
丘都尤都,"
【丘都尤都】《对龙城塞石卫塔 LV.41》号
当BOSS突然离开走向场边或角落时，请立刻跟过去，并注意他的面向，躲到他身侧或身后，它走到位之后会立刻发出正面扇形无提醒AOE，比较疼，要注意抬血。"
柯西切,"
【柯西切】《对龙城塞石卫塔 LV.41》号
T把BOSS拉到门口，面冲外，奶妈站到场地内侧。
当屏幕提示《足枷冰龙从天而降》时，需要奶妈回头找到冰龙，并开对应位置的炮。
如果开慢了，就会产生全团AOE(如果奶妈是新人，也可以由远程DPS来开炮)。
战斗进行一段时间后，场地内会出现龙卷风，躲开即可，
但偶尔也会出现龙卷风正好刷在炮的位置，建议做好减伤之后再去开炮(也有可能在这里灭团…)。"
足枷冰龙,"
【足枷冰龙】《对龙城塞石卫塔 LV.41》号
BOSS血量降低到一定程度之后会上天，
然后会对场地进行俯冲(俯冲为场地1/3宽度)，被俯冲的地面会变白，
所有人注意躲避。第二次俯冲开始，BOSS会先点名全队放2次冰圈，
建议所有人站在一起引导冰圈位置，俯冲也会冲2次。
俯冲结束之后，所有人远离T，BOSS降落时会对周围造成一定的伤害。"
全视之眼,"
【全视之眼】《山中战线泽梅尔要塞 LV.44》号
平时是无敌的，只有在地面发光的区域才能解除无敌，对其造成伤害，
同时这个区域还能保护玩家，减少受到伤害，因此T需要把怪和自己都放在发光的区域里，
奶和DPS也要站在这个区域里。
当屏幕提示“水晶的光芒逐渐黯淡”的时候，T就要开始找下一个地面发光的区域了，
在移动中团队可能会遭到巨大的伤害，奶妈要做好应对准备。一般来说小怪不打，由T拉住。"
巴特拉尔,"
【巴特拉尔】《山中战线泽梅尔要塞 LV.44》号
BOSS血量下降到一定程度时，会和场边的水晶连线并变为无敌，需要DPS去打水晶，
T没事也可以去，这时候由于BOSS无敌，你打BOSS也没用的。
3个水晶都打爆之后，BOSS会点名队员脚下扔淤泥，躲开即可。
T记得调整BOSS的位置和面向，把BOSS的后背和侧面露给近战DPS。"
锁匠花,"
【锁匠花】《毒雾洞窟黄金谷 LV.47》号
会每隔一段时间全屏上BUFF，BUFF会让玩家持续掉血，需要在副本里吃果子解BUFF。
一般来说2~3层解就可以了，超过3层就有可能发生奶不起来的情况。"
数币巨人,"
【数币巨人】《毒雾洞窟黄金谷 LV.47》号
大部分技能都有读条。【十吨横扫】，需要T穿过BOSS躲避
【百吨回转】，所有非T职业吃到必死，需要远离躲避，T如果实在躲不开可以开大减伤硬吃
【怒视】，BOSS面向直线AOE，需要躲开正面
【眼魔之眼】，环形AOE，脚下或最远距离输出可躲避，也可以眩晕打断(硬吃会有DOT伤害，治疗注意抬血或驱散)
当屏幕提示《数币巨人正在思考问题》时，仇恨清零，需要T重新建立仇恨，否则BOSS会攻击其他队员。"
守财夫人,"
【守财夫人】《毒雾洞窟黄金谷 LV.47》号
就是老一的加强版，一般在2层BUFF就要吃果子。
BOSS血量下降到一定程度之后，会移动并甩出一堆花骨朵，这些花苞也都会孵化，优先击杀(第二波可以使用法系LB连BOSS一起砸)。"
魔导死神改,"
【魔导死神改】《帝国南方堡外围激战 LV.50 》号
直接撸BOSS就行，除非你们8个人平均装等都不到60，否则刷出来的小怪不用管。"
魔导先锋强袭型,"
【魔导先锋强袭型】《帝国南方堡外围激战 LV.50 》号
打到一半会出现小怪，无视直接撸BOSS即可。"
魔导巨兵改,"
【魔导巨兵改】《帝国南方堡外围激战 LV.50 》号
没有什么特别需要注意的，主要是会刷出一些连线的小怪，
这些小怪会给BOSS上一个伤害减低的BUFF，此时打BOSS一下就打3、5血。
因此这个BOSS必须清小怪(最后出的大一点的反而不用打)。"
莉维亚·萨斯·尤尼乌斯,"
【莉维亚·萨斯·尤尼乌斯】《帝国南方堡外围激战 LV.50 》号
BOSS所在位置面前标A，T开怪后拉原地。
其他玩家调查场地两边的“迫击炮弹”，魔导地狱爪会为迫击炮装填炮弹。调查装填好的迫击炮，就可以向BOSS开炮，BOSS被炮击后，会转换目标，被BOSS看上的人，代替T把BOSS放在中场(A点)即可。
开炮后会出现小怪，T拉住带到A点，可以由炮击一起击杀(愿意打掉也可以)，但是带着BOSS仇恨的玩家请不要乱跑(否则开炮的玩家将无法瞄准)。小怪和BOSS的攻击都有可能把地狱爪和迫击炮打掉，不用惊慌，过一会就会恢复。"
魔导巨兵二型,"
【魔导巨兵二型】《天幕魔导城最终决战 LV.50》号
丢人玩意儿，瞎打就行。"
尼禄·托尔·斯卡艾瓦,"
【尼禄·托尔·斯卡艾瓦】《天幕魔导城最终决战 LV.50》号
开战后场地四周会出现电浆池，远程注意稍微往里站，
BOSS对有无预警击退(没什么好的防范方法，注意时刻保持自己在场地中央即可)。
场地内会时不时招出机械爪，并与一名玩家连线并靠近，推荐远程转火快的职业迅速转火，击杀机械爪，
机械爪碰到与之连线的玩家后，被连线玩家会被击退到墙边，如果在电浆池里呆的时间过久也是会掉血的，更大的问题是影响输出，场地里会充满连线、爪子，没人能打着BOSS了。
治疗注意关照被击退的玩家还有带电的玩家，虽然这个BOSS现在已经不容易团灭了，但是还是小心驶得万年船。"
盖乌斯·范·巴埃萨,"
【盖乌斯·范·巴埃萨】《天幕魔导城最终决战 LV.50》号
基本上站撸就可以了。如果你的队伍输出比较慢，注意他会在地上放一个掉血的圈(输出快的话就站在圈里直接撸掉，输出慢的话一定要拉出来)。
然后他还会瞬移、击退，在面前画个叉，过几秒沿直线飞出去(注意躲开叉的正面方向)。"
究极神兵,"
【究极神兵】《天幕魔导城最终决战 LV.50》
P1刚开打的时候BOSS减伤99%，它会四周发射激光，划水一段时间后，神兵无敌护盾被打破，T注意带到场边。
BOSS会使用风神的扇形AOE，火神和土神的地面圈。随HP降低，会依次剥离出风神、土神和火神。蛮神被剥离出来之后，就不会使用对应的技能了。治疗注意火神和土神的圈是连续使用的，如果有人中招了注意及时抬血。

P2，T直接开怪。场地上会刷新魔导浮游炮，不打也不影响击杀，但是T和读条职业会被迫走位，还是推荐击杀掉。场地上会出现距离衰减范围伤害，注意躲避(T推荐把BOSS固定12点，发现12点是炮落点的时候，开无敌或大减伤硬吃)。BOSS还会点名一名玩家放一个绿球，远离人群后撞掉即可。
最后BOSS会消失，然后回到场中读条团灭技，读条结束前击杀即可(读条很慢)。"
圣地守护者,"
【圣地守护者】《神灵圣域放浪神古神殿 LV.50》号
出啥躲啥。"
巨大奶冻怪,"
【巨大奶冻怪】《神灵圣域放浪神古神殿 LV.50》号
小怪及时转火清理即可。"
冬贝利王,"
【冬贝利王】《神灵圣域放浪神古神殿 LV.50》号
现在基本无视小怪直接打BOSS即可。
如果前面一路下来发现你们队伍的输出非常低，需要远程打掉刷新的冬贝利切割者(小冬贝利)，再输出BOSS，所有人都不要碰冬贝利切碎者(中型冬贝利)。"
夺神魔,"
【夺神魔】《邪教驻地无限城古堡 LV.50 》号
开场是一个小怪召唤BOSS，无法打断，直接击杀即可。
BOSS出现后，每隔一段时间就会召唤一个小石头人(打掉即可)。
BOSS血量继续下降的话，会召唤一个大石头人，大石头人会释放范围非常大的AOE，需要T直接把人群带到门口附近。
如果DPS非常快，可以无视大石头人，强行打掉BOSS。"
恶魔墙,"
【恶魔墙】《邪教驻地无限城古堡 LV.50 》号
这个BOSS会无视仇恨随机攻击小队成员，T可以切换成输出姿态。
地板会按照中间→两边的顺序变黑，地板变黑请立刻躲避。
躲完黑地板后移动到中央，BOSS会读条击退(如果此时仍站在两边就会掉下去，直接GG)。"
阿难塔波嘉,"
【阿难塔波嘉】《邪教驻地无限城古堡 LV.50 》号
这个BOSS有超巨大范围的扫尾技能，所以T开怪之后需要把它横过来，
近战DPS如果需要打BOSS后背的话，可以提前引导它使出扫尾，再去使用输出技能。
当BOSS读条【天灾降临】时，需要所有玩家躲避到石像之后躲避。
刷新的小怪根据DPS速度进行击杀(如果DPS很快就可以无视小怪了)。"
不沉者 西蒙德,"
【不沉者 西蒙德】《领航明灯天狼星灯塔 LV.50》号
这个BOSS会发出覆盖场地的AOE，并且会召唤野狗。
狗攻击一次玩家，会给玩家上一个DEBUFF，3层就炸。
一般团队选择无视狗直接输出BOSS，这样对奶的压力很大。
如果你的队伍实力不足，推荐优先击杀狗，并躲好一切技能。奶妈随时准备群抬"
祖,"
【祖】《领航明灯天狼星灯塔 LV.50》号
有事没事都别碰鸟蛋。鸟蛋过一段时间就会孵化，优先打公的(有连线的)。
BOSS过一段时间就会上天，所有人远离T，T绕场不停跑，等它下来就可以了。"
暴君,"《领航明灯天狼星灯塔 LV.50》号
【暴君】
世上最没存在感&最不像BOSS的BOSS…直接撸，什么都不用管。"
塞壬,"
【塞壬】《领航明灯天狼星灯塔 LV.50》号
T开怪后把BOSS放在场中央背对人群，
当BOSS召唤小怪时，优先击杀名字带有“奴隶”的爬行小怪(这种小怪会给玩家定身，非常讨厌)。
BOSS读条【死者之歌】后，会随机给一名玩家上一个死亡BUFF，需要奶妈奶满这名玩家以解除BUFF。
当BOSS上天之后，有可能是直线俯冲或范围AOE，奶妈抬血即可。"
百臂主脑巨人,"
【百臂主脑巨人】《骚乱坑道铜铃铜山 LV.50 》号
如果团队非常强，可以所有人在门口直接击杀BOSS。
正常处理为地面出现火焰之后，T把BOSS带走到没有火的地方。
场地另一头刷新爆弹怪需要DPS第一时间击杀，其他小怪可以稍后清理，
一定时间或爆弹怪踩火之后会立刻爆炸，对全团造成大量伤害。"
比吉,"
【比吉】《骚乱坑道铜铃铜山 LV.50 》号
需要DPS启动装置，捡起炸弹，并放在BOSS脚下。
由于BOSS会乱动，可以在屏幕提示还有5秒爆炸的时候放下炸弹。
奶妈需要随时关注全团血量，其他玩家需要击杀火元精等等小怪。
炸弹炸几次之后，BOSS就会从石头人上下来，
此时全员攻击BOSS即可，一般队伍都可以在爆弹怪爆炸之前打掉BOSS。"
复仇者 乌拉诺斯,"
【复仇者 乌拉诺斯】《骚乱坑道铜铃铜山 LV.50 》号
开场T把BOSS拉到场地边缘。奶妈或商定的DPS观察全场水晶的位置。
开打后屏幕提示《沙虫在找吃的》时，就需要把水晶搬到沙地上，否则沙虫会把所有玩家吸到场中并造成大量伤害。
小怪会攻击搬运水晶的人，需要DPS优先击杀。"
庄园的小丑,"
【庄园的小丑】《恶灵府邸静语庄园 LV.50》号
会每过一段时间召唤新的小怪，小怪被打倒之后也会被BOSS复活，4个小怪一起复活就会合体。
一般的团队可以在第二次复活之前把BOSS打掉，如果输出比较慢的话，需要T把小怪拉到不同的区域击杀。"
阿修,"
【阿修】《恶灵府邸静语庄园 LV.50》号
BOSS有顺劈，正面不要有人。BOSS会释放超大范围的地板AOE【蓝色光带】，需要及时躲避。
另外BOSS还会点名玩家在地板上放旋转光剑，玩家不能站在那个区域否则也会掉血。
后期BOSS还会召唤小怪，并黑洞点名随机伤害。
这个BOSS需要所有玩家爆发全开，尽可能在在小怪出场时打掉，近战可以酌情放LB。"
哈利卡纳苏斯,"
【哈利卡纳苏斯】《恶灵府邸静语庄园 LV.50》号
BOSS会召唤小怪，过一会后会把小怪吃掉，然后读条血雨。
血雨的威力会根据被吃掉的小怪剩余血量而有不同威力。所以刷新小怪后，所有人立刻转火小怪。
第二波小怪有2只，BOSS是随机吃的，所以需要2只一起打。
如果发现BOSS吃了一只半血以上的小怪，奶妈需要做好应急乃至灭团的准备。
另外如果BOSS打的太快，可能会强制BOSS提前吃小怪，所以DPS较快的团队注意收手。"
腐坏贪吃鬼,"
【腐坏贪吃鬼】《腐坏遗迹无限城市街古迹 LV.50》号
BOSS每过一段时间会吞下一名玩家，需要剩下的人攻击贪婪大口解救被吞掉的玩家。剩下出啥躲啥，奶妈需要注意驱散毒。"
阿里奥克,"
【阿里奥克】《腐坏遗迹无限城市街古迹 LV.50》号
开场只有小怪，需要由T独自击杀小怪，小怪会给T上一个BUFF，BOSS降落攻击带有BUFF的人。
DPS尽量不要碰小怪，因为BUFF会带有受伤加重效果，正常输出BOSS即可。
T可以选在在BUFF即将消失的时候去打下一只小怪，也可以一直打小怪以维持BUFF。"
迪亚波罗斯,"
【迪亚波罗斯】《腐坏遗迹无限城市街古迹 LV.50》号
场边有8个门，开怪之后门上会出现标记，相同图案两两一组，一共4组。门上的图案过几秒就会消失。【噩梦】是一个可打断的读条技能，不打断则全队进入沉睡状态。另外BOSS还会单独点名一名玩家丢个球，球周围会产生AOE，不要接近。【破灭预兆】读条一半左右的时候，需要玩家打开图案相同的两扇门，以躲避接下来的巨大伤害。

【迪亚波罗斯】《影之国LV.60》
【梦魇】：转向背对回避 给没有躲开的人驱散DEBUFF
【究极恐惧】：甜甜圈范围攻击 靠近回避
【夜袭】：大伤害MT注意开buff 治疗回复
【破灭预兆】：全体范围攻击注意回复
【门】：出现了就击杀"
皮拉刻蒙,"
【皮拉刻蒙】《剑斗领域日影地修炼所 LV.50》号
BOSS读条【百盾横扫】时，T绕到BOSS侧面躲避即可。【百吨回转】需要所有人远离BOSS。
当场地变蓝时，点BOSS身后的装置，场地内与其连线的魔法人偶会停止移动并出现一个蓝圈，
所有人站到蓝圈里吃BUFF，以抵挡接下来的回转技能(否则凉凉)。
另外BOSS还会读条 【凝视】【 狞视】，躲开BOSS正面即可。
打完BOSS需要绕道他身后楼上，跟NPC对话传送到下一个区域。"
卡托布莱帕斯,"
【卡托布莱帕斯】《剑斗领域日影地修炼所 LV.50》号
当BOSS读条【恶魔之瞳】，并提示BOSS的眼睛发出了黄色的光辉时，需要4个人去吃场边的幽暗珠。
当出现《不净的魔眼》时，BOSS会持续读条AOE并为玩家叠加易伤BUFF，需要尽快击杀魔眼，如果团队输出比较快，也可以选择无视魔眼，直接击杀BOSS。"
退位主教 穆穆埃珀,"
【退位主教 穆穆埃珀】《剑斗领域日影地修炼所 LV.50》号
开场是个4天王组合，其中无双枪会随机点名一名玩家追着跑，不要惊慌，剩下的T拉住，
DPS按照女帝/无双枪→沙漠猎人→美貌剑的顺序击杀
(不用十分严格按照这个顺序，但女帝和沙漠猎人都比较危险，而无双枪可能会把他盯上的DPS打残)。
然后真·BOSS出现，T需要两个都拉住，DPS优先输出主教。
主教会随机定身2名玩家，并读条巨大范围伤害技能，需要自由的玩家触摸咒具解开束缚
时间很充分，请务必去救人。干掉主教后再收拾魔兽即可。"
青蓝之手指挥官,"
【青蓝之手指挥官】《纷争要地布雷福洛克斯野营地 LV.50》号
连线可以传递，闭着眼瞎撸也行，注意躲好十字雷。"
3号哥布林装甲,"
【3号哥布林装甲】《纷争要地布雷福洛克斯野营地 LV.50》号
出啥躲啥，有随机点名冲锋，注意躲开路径即可。"
6号哥布林坦克,"
【6号哥布林坦克】《纷争要地布雷福洛克斯野营地 LV.50》号
BOSS打一会就会绕场旋转，这个时候需要打小怪。
小怪都打掉后，BOSS会往场里扔炸弹，需要用技能把炸弹打到场边
(攻击技能随便打一下就行，一般需要放AOE)。
最后BOSS会召唤一个大炸弹，需要注意集火打掉。
另外也可以在BOSS血量降到12%~13%左右时，由近战DPS放LB直接打掉BOSS。"
大脚巨猿,"
【大脚巨猿】《财宝传说破舰岛 LV.50》号
出小怪先打小怪，T可以不用拉。
当屏幕提示《大脚巨猿饿的开始焦虑起来》后，BOSS会不断释放全屏AOE，并且越来越疼，
需要玩家调查场边的树，让BOSS吃掉掉下来的香蕉就好了。"
肖鲁姆,"
【肖鲁姆】《财宝传说破舰岛 LV.50》号
一个大虫子。开场BOSS会在场周召唤一堆水泡，不要离得太近，会被吸进去。
当BOSS偶数次潜入地底，地面出现大漩涡时，需要钻到水泡里躲避。
如果没来得及进入水泡，就会受到巨大伤害，请奶妈注意。"
克拉肯,"
【克拉肯】《财宝传说破舰岛 LV.50》号
本体是个大章鱼，但是我们主要是打它的脚。
每个岛上会出2只腕足，一共8条腕足。另外它还有2只触手，会把人抓起来扔到天上，如果看到了触手请优先击杀。
另外BOSS会随机点名一名玩家，头上出现绿色的小石头。这名玩家需要跳到隔壁没人的岛上，等陨石消失并出现漩涡后，才能返回继续打BOSS，漩涡会在它所在的岛上爆炸并造成AOE伤害。
【克拉肯】《逆转要害沙斯塔夏溶洞 LV.50》号
进门后小水塘会出现触手和腕足两种须子，要打腕足，腕足都打掉之后再打本体即可，
触手虽然会抓人，但是可以不打，注意及时跑开即可。T可以躲在BOSS身侧最里面的位置，吃到的伤害相对较少(也可能是玄学…)
奶妈务必注意，因为场地很大加上大家都在跑来跑去，你的群疗很可能加不上，需要及时抬血。"
证婚人 莉亚维娜,"
【证婚人 莉亚维娜】《惨剧灵殿塔姆·塔拉墓园 LV.50》号
打到一定时间后会点名一名玩家，并召唤一堆小怪。
不要打任何一只小怪，所有人不要打小怪，
不要用任何AOE技能，站在一起，等BOSS放技能打掉小怪即可。"
备用的躯体,"
【备用的躯体】《惨剧灵殿塔姆·塔拉墓园 LV.50》号
开场后不久场边会出现黑洞，黑洞会放出黑球，需要玩家去撞掉，无减伤裸吃的话最多吃2个，奶妈要注意加血。
过一段时间还会召唤大球，建议2~3名玩家一起去撞。
BOSS会点名放类似淤泥的东西，T注意带位，自己不要站进去，给DPS留出输出空间。
中间的NPC不能死，如果血量过低可以考虑奶妈加血。"
雄壮的阿维尔,"
【雄壮的阿维尔】《惨剧灵殿塔姆·塔拉墓园 LV.50》号
中央发黑的区域不要去，会持续掉血。
过一段时间场周围会出现一堆小怪，需要所有人迅速击杀，
小怪爬到场中央后会点亮符文，一般点亮4~5个之后就很容易团灭了。
奶妈可以根据地上亮起符文的数量决定抬血，大抬血或者放弃治疗。"
格里尼奇恶龙,"
【格里尼奇恶龙】《激战城塞石卫塔 LV.50》号
当BOSS跑到场边的时候，立刻跟上躲到它身侧或者身后，
它会对正面释放90°超大范围AOE，还贼疼。
出小龙立刻转火小龙，把BOSS拉离小龙，
小龙死后会给周围的“队友”上增强的BUFF，层数过高会较难处理。"
库卡龙龟,"
【库卡龙龟】《激战城塞石卫塔 LV.50》号
需要4个人站到四个角，使用4台对龙弩炮进行攻击。
当BOSS读条变硬时，会反弹弩炮的攻击，此时不要攻击BOSS。
当场上出现小怪时，可以用弩炮攻击队友附近的小怪。
当BOSS读条全场AOE的时候，需要使用弩炮的第二个技能“雷弹”打断(平时不要使用这个技能)。"
